CID da tabela do VINCULA,Subcategoria,Capítulo,Grupo,Categoria
A00,Cólera,Capítulo I - Algumas doenças infecciosas e parasitárias,A00-A09 - Doenças infecciosas intestinais,A00 - Cólera
A000,"Cólera devida a Vibrio cholerae 01, biótipo cholerae",Capítulo I - Algumas doenças infecciosas e parasitárias,A00-A09 - Doenças infecciosas intestinais,A00 - Cólera
A001,"Cólera devida a Vibrio cholerae 01, biótipo El Tor",Capítulo I - Algumas doenças infecciosas e parasitárias,A00-A09 - Doenças infecciosas intestinais, A00 - Cólera
A011,Febre paratifóide A,Capítulo I - Algumas doenças infecciosas e parasitárias,A00-A09 - Doenças infecciosas intestinais,A01 - Febres tifóide e paratifóide
A022,Infecções localizadas por salmonela,Capítulo I - Algumas doenças infecciosas e parasitárias,A00-A09 - Doenças infecciosas intestinais,A02 - Outras infecções por Salmonella
A043,Infecção por Escherichia coli enterohemorrágica,Capítulo I - Algumas doenças infecciosas e parasitárias,A00-A09 - Doenças infecciosas intestinais,A04 - Outras infecções intestinais bacterianas
A047,Enterocolite devida a Clostridium difficile,Capítulo I - Algumas doenças infecciosas e parasitárias,A00-A09 - Doenças infecciosas intestinais,A04 - Outras infecções intestinais bacterianas
A048,Outras infecções bacterianas intestinais especificadas,Capítulo I - Algumas doenças infecciosas e parasitárias,A00-A09 - Doenças infecciosas intestinais,A04 - Outras infecções intestinais bacterianas
A049,Infecção intestinal bacteriana não especificada,Capítulo I - Algumas doenças infecciosas e parasitárias,A00-A09 - Doenças infecciosas intestinais,A04 - Outras infecções intestinais bacterianas
A058,Outras intoxicações alimentares bacterianas especificadas,Capítulo I - Algumas doenças infecciosas e parasitárias,A00-A09 - Doenças infecciosas intestinais," A05 - Outras intoxicações alimentares bacterianas, não classificadas em outra parte"
A083,Outras enterites virais,Capítulo I - Algumas doenças infecciosas e parasitárias,A00-A09 - Doenças infecciosas intestinais,"A08 - Infecções intestinais virais, outras e as não especificadas"
A085,Outras infecções intestinais especificadas,Capítulo I - Algumas doenças infecciosas e parasitárias,A00-A09 - Doenças infecciosas intestinais,"A08 - Infecções intestinais virais, outras e as não especificadas"
A09,Diarréia e gastroenterite de origem infecciosa presumível,Capítulo I - Algumas doenças infecciosas e parasitárias,A00-A09 - Doenças infecciosas intestinais,A09 - Diarréia e gastroenterite de origem infecciosa presumível
A150,"Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura",Capítulo I - Algumas doenças infecciosas e parasitárias,A15-A19 - Tuberculose,"A15 - Tuberculose respiratória, com confirmação bacteriológica e histológica"
A152,"Tuberculose pulmonar, com confirmação histológica",Capítulo I - Algumas doenças infecciosas e parasitárias,A15-A19 - Tuberculose,"A15 - Tuberculose respiratória, com confirmação bacteriológica e histológica"
A153,"Tuberculose pulmonar, com confirmação por meio não especificado",Capítulo I - Algumas doenças infecciosas e parasitárias,A15-A19 - Tuberculose,"A15 - Tuberculose respiratória, com confirmação bacteriológica e histológica"
A156,"Pleuris tuberculoso, com confirmação bacteriológica e histológica",Capítulo I - Algumas doenças infecciosas e parasitárias,A15-A19 - Tuberculose,"A15 - Tuberculose respiratória, com confirmação bacteriológica e histológica"
A158,"Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica",Capítulo I - Algumas doenças infecciosas e parasitárias,A15-A19 - Tuberculose,"A15 - Tuberculose respiratória, com confirmação bacteriológica e histológica"
